Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,18-11-2025 10:15:00,25930.00,25977.00,25911.20,25967.40,615075,18012300
NIFTY-FUT,18-11-2025 11:15:00,25970.00,26019.00,25952.70,25994.20,622125,17807250
NIFTY-FUT,18-11-2025 12:15:00,25991.70,26002.20,25956.10,25995.30,540225,17722576
NIFTY-FUT,18-11-2025 13:15:00,25995.30,26042.00,25995.30,26030.00,535200,17620050
NIFTY-FUT,18-11-2025 14:15:00,26030.10,26038.60,25940.00,25945.10,828750,17646976
NIFTY-FUT,18-11-2025 15:15:00,25946.00,25954.40,25931.00,25948.80,410475,17610000
NIFTY-FUT,19-11-2025 09:15:00,25940.00,25990.00,25887.80,25989.30,1224825,17526824
NIFTY-FUT,19-11-2025 10:15:00,25989.80,26005.00,25942.20,25942.30,742875,17372924
NIFTY-FUT,19-11-2025 11:15:00,25941.60,26038.10,25931.00,26037.60,633450,17242050
NIFTY-FUT,19-11-2025 12:15:00,26037.50,26075.00,26029.10,26059.50,761475,17169750
NIFTY-FUT,19-11-2025 13:15:00,26059.50,26068.00,26020.00,26066.00,432225,17149276
NIFTY-FUT,19-11-2025 14:15:00,26065.00,26090.00,26061.40,26070.00,872025,17053500
NIFTY-FUT,19-11-2025 15:15:00,26070.60,26079.50,26062.00,26071.00,388050,16795500
NIFTY-FUT,20-11-2025 09:15:00,26136.00,26147.00,26072.90,26122.00,1251300,16739250
NIFTY-FUT,20-11-2025 10:15:00,26120.90,26172.00,26120.00,26150.80,798300,16538175
NIFTY-FUT,20-11-2025 11:15:00,26150.70,26170.00,26141.20,26165.00,513075,16469850
NIFTY-FUT,20-11-2025 12:15:00,26165.00,26199.00,26158.00,26186.90,806400,16397100
NIFTY-FUT,20-11-2025 13:15:00,26186.90,26262.00,26183.20,26251.30,1367550,16441875
NIFTY-FUT,20-11-2025 14:15:00,26250.30,26264.00,26202.00,26227.20,1482150,16641750
NIFTY-FUT,20-11-2025 15:15:00,26223.20,26239.00,26219.20,26220.80,418425,14612900
NIFTY-FUT,21-11-2025 09:15:00,26136.30,26188.90,26097.40,26100.00,1797750,14480475
NIFTY-FUT,21-11-2025 10:15:00,26102.00,26124.00,26070.10,26124.00,1321725,14473350
NIFTY-FUT,21-11-2025 11:15:00,26123.90,26145.00,26096.80,26142.00,872250,14510250
NIFTY-FUT,21-11-2025 12:15:00,26139.60,26195.00,26136.70,26144.80,1112775,14593425
NIFTY-FUT,21-11-2025 13:15:00,26147.00,26166.00,26107.50,26164.90,1048350,14874150
NIFTY-FUT,21-11-2025 14:15:00,26164.90,26177.60,26070.50,26080.00,1692600,15070875
NIFTY-FUT,21-11-2025 15:15:00,26081.50,26094.10,26061.30,26077.50,769200,12346900
NIFTY-FUT,24-11-2025 09:15:00,26111.00,26148.80,26085.00,26148.70,1064850,12248925
NIFTY-FUT,24-11-2025 10:15:00,26148.70,26168.70,26112.50,26120.00,703725,12251250
NIFTY-FUT,24-11-2025 11:15:00,26115.00,26150.00,26080.30,26093.60,833625,12337275
NIFTY-FUT,24-11-2025 12:15:00,26093.60,26113.40,26045.20,26094.30,1107600,12228750
NIFTY-FUT,24-11-2025 13:15:00,26094.30,26114.90,26058.10,26068.80,972900,12339450
NIFTY-FUT,24-11-2025 14:15:00,26069.60,26071.80,25982.80,25990.00,1898625,12417525
NIFTY-FUT,24-11-2025 15:15:00,25993.00,25999.00,25955.00,25996.40,699600,9271130
NIFTY-FUT,25-11-2025 09:15:00,26187.80,26187.80,25934.20,26032.00,1140075,8910825
NIFTY-FUT,25-11-2025 10:15:00,26032.00,26035.00,25924.50,25943.60,901425,8683875
NIFTY-FUT,25-11-2025 11:15:00,25944.00,26005.10,25933.80,25986.20,530175,8528925
NIFTY-FUT,25-11-2025 12:15:00,25986.20,26009.00,25955.00,26000.90,519525,8524875
NIFTY-FUT,25-11-2025 13:15:00,25997.30,26029.90,25979.40,26020.00,652950,8336625
NIFTY-FUT,25-11-2025 14:15:00,26020.00,26025.80,25867.40,25884.10,1438425,7459725
NIFTY-FUT,25-11-2025 15:15:00,25888.00,26055.40,25881.10,26055.40,323775,13689500
NIFTY-FUT,26-11-2025 09:15:00,26105.00,26300.00,26102.10,26284.10,2556600,13790475
NIFTY-FUT,26-11-2025 10:15:00,26287.00,26328.80,26262.60,26307.00,866925,14039100
NIFTY-FUT,26-11-2025 11:15:00,26313.30,26345.30,26294.40,26339.50,662625,14121525
NIFTY-FUT,26-11-2025 12:15:00,26340.00,26378.90,26326.60,26362.70,1035900,14189850
NIFTY-FUT,26-11-2025 13:15:00,26362.60,26387.20,26337.60,26367.10,733575,14289975
NIFTY-FUT,26-11-2025 14:15:00,26372.10,26390.00,26343.60,26389.20,721950,14286750
NIFTY-FUT,26-11-2025 15:15:00,26384.00,26392.00,26370.30,26381.20,738900,14001200
NIFTY-FUT,27-11-2025 09:15:00,26401.10,26479.90,26401.00,26465.60,1445475,13988250
NIFTY-FUT,27-11-2025 10:15:00,26465.60,26495.60,26441.90,26475.00,471675,14018775
NIFTY-FUT,27-11-2025 11:15:00,26475.00,26478.40,26400.00,26412.00,545625,13993425
NIFTY-FUT,27-11-2025 12:15:00,26412.00,26435.00,26340.00,26344.20,742575,13995675
NIFTY-FUT,27-11-2025 13:15:00,26344.20,26375.00,26317.50,26355.00,849525,13845000
NIFTY-FUT,27-11-2025 14:15:00,26355.00,26399.00,26347.50,26388.00,524025,13825800
NIFTY-FUT,27-11-2025 15:15:00,26388.00,26405.60,26381.90,26390.90,304350,13814200
NIFTY-FUT,28-11-2025 09:15:00,26341.00,26449.00,26341.00,26420.10,789375,13858575
NIFTY-FUT,28-11-2025 10:15:00,26420.00,26459.90,26402.10,26447.00,434775,13816125
NIFTY-FUT,28-11-2025 11:15:00,26447.00,26449.40,26400.80,26411.00,220725,13778100
NIFTY-FUT,28-11-2025 12:15:00,26410.00,26421.40,26375.00,26392.00,389250,13745475
NIFTY-FUT,28-11-2025 13:15:00,26392.00,26416.30,26364.40,26372.70,290700,13717500
