Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY-FUT,15-12-2025 12:25:00,59702.00,59705.00,59661.00,59670.60,5670,1712760
BANKNIFTY-FUT,15-12-2025 12:30:00,59670.60,59710.00,59670.60,59692.00,4690,1712410
BANKNIFTY-FUT,15-12-2025 12:35:00,59692.00,59720.00,59683.20,59705.00,5180,1713495
BANKNIFTY-FUT,15-12-2025 12:40:00,59705.00,59713.20,59650.00,59670.20,5215,1713425
BANKNIFTY-FUT,15-12-2025 12:45:00,59670.20,59679.80,59650.00,59660.80,5355,1713915
BANKNIFTY-FUT,15-12-2025 12:50:00,59666.40,59688.00,59666.40,59666.40,6160,1717135
BANKNIFTY-FUT,15-12-2025 12:55:00,59666.80,59680.00,59657.40,59674.40,2660,1717695
BANKNIFTY-FUT,15-12-2025 13:00:00,59680.00,59698.80,59671.00,59698.80,3255,1719340
BANKNIFTY-FUT,15-12-2025 13:05:00,59699.00,59719.00,59699.00,59705.00,4060,1719550
BANKNIFTY-FUT,15-12-2025 13:10:00,59705.00,59743.40,59702.00,59740.00,13650,1723715
BANKNIFTY-FUT,15-12-2025 13:15:00,59740.00,59750.00,59690.20,59695.20,14385,1724380
BANKNIFTY-FUT,15-12-2025 13:20:00,59695.20,59711.00,59690.00,59702.60,1820,1724765
BANKNIFTY-FUT,15-12-2025 13:25:00,59704.80,59712.00,59670.20,59688.20,1855,1724695
BANKNIFTY-FUT,15-12-2025 13:30:00,59680.00,59684.00,59660.00,59669.80,3290,1724625
BANKNIFTY-FUT,15-12-2025 13:35:00,59669.80,59697.80,59669.80,59688.00,3955,1723470
BANKNIFTY-FUT,15-12-2025 13:40:00,59687.80,59704.60,59665.00,59679.00,13020,1724450
BANKNIFTY-FUT,15-12-2025 13:45:00,59667.80,59689.60,59660.20,59684.40,1680,1723960
BANKNIFTY-FUT,15-12-2025 13:50:00,59679.00,59689.60,59660.20,59686.00,4655,1723015
BANKNIFTY-FUT,15-12-2025 13:55:00,59685.60,59685.60,59660.00,59660.00,3255,1722735
BANKNIFTY-FUT,15-12-2025 14:00:00,59657.60,59712.00,59657.60,59700.20,4060,1722385
