Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,28-11-2024 13:30:00,24004.00,24015.00,23980.00,23981.20,205225,6761125
NIFTY-FUT,28-11-2024 13:45:00,23981.00,24066.30,23970.10,24050.80,266925,6791325
NIFTY-FUT,28-11-2024 14:00:00,24049.50,24085.30,23838.00,23954.60,449100,6747625
NIFTY-FUT,28-11-2024 14:15:00,23954.30,24007.00,23890.00,23973.30,467975,6703250
NIFTY-FUT,28-11-2024 14:30:00,23971.60,24018.80,23910.60,23921.30,323450,6773325
NIFTY-FUT,28-11-2024 14:45:00,23921.50,23949.70,23901.30,23906.60,390875,6773525
NIFTY-FUT,28-11-2024 15:00:00,23906.60,23910.20,23877.30,23902.00,459025,6708000
NIFTY-FUT,28-11-2024 15:15:00,23903.00,24115.30,23900.80,24115.30,578550,11785700
NIFTY-FUT,29-11-2024 09:15:00,24139.80,24190.00,24112.00,24190.00,706575,11859800
NIFTY-FUT,29-11-2024 09:30:00,24186.00,24210.00,24151.00,24158.50,370550,11857400
NIFTY-FUT,29-11-2024 09:45:00,24159.80,24229.00,24156.30,24229.00,302950,11821375
NIFTY-FUT,29-11-2024 10:00:00,24225.00,24247.00,24140.00,24140.00,393225,11809250
NIFTY-FUT,29-11-2024 10:15:00,24135.50,24215.00,24127.30,24204.00,284450,11795875
NIFTY-FUT,29-11-2024 10:30:00,24200.80,24286.50,24187.90,24241.00,700525,11755800
NIFTY-FUT,29-11-2024 10:45:00,24235.10,24285.00,24234.50,24277.30,253200,11732275
NIFTY-FUT,29-11-2024 11:00:00,24278.00,24292.90,24254.00,24272.40,225500,11735175
NIFTY-FUT,29-11-2024 11:15:00,24271.70,24294.00,24255.00,24284.40,191200,11713725
NIFTY-FUT,29-11-2024 11:30:00,24280.00,24295.00,24225.20,24242.00,199575,11710550
NIFTY-FUT,29-11-2024 11:45:00,24242.00,24259.80,24215.00,24223.30,133600,11705475
NIFTY-FUT,29-11-2024 12:00:00,24227.80,24269.80,24220.50,24269.00,112675,11706175
NIFTY-FUT,29-11-2024 12:15:00,24269.30,24270.00,24235.00,24257.10,55100,11707500
NIFTY-FUT,29-11-2024 12:30:00,24257.10,24268.00,24242.70,24253.40,68075,11689600
NIFTY-FUT,29-11-2024 12:45:00,24251.00,24273.50,24230.00,24273.50,67025,11678325
NIFTY-FUT,29-11-2024 13:00:00,24273.50,24275.00,24248.00,24275.00,97300,11693700
NIFTY-FUT,29-11-2024 13:15:00,24275.00,24314.30,24267.70,24292.50,340300,11700025
NIFTY-FUT,29-11-2024 13:30:00,24292.50,24325.00,24292.50,24308.30,185475,11657900
